"",VALUE,VALUE,PERCENT
TYPE OF PROPERTY,STOLEN,RECOVERED,RECOVERED
"A) Currency, Notes, etc.","$1,142,928","$574,497",50.3%
B) Jewelry & Precious Metal,"$137,967","$12,891",9.3%
C) Clothing & Furs,"$83,922","$59,889",71.4%
D) Locally Stolen Motor Vehicles,"$1,075,844","$903,382",84.0%
E) Office Equipment,"$40,222","$15,296",38.0%
"F) Televisions, Radios, Stereos, etc.","$47,110","$7,169",15.2%
G) Firearms,"$59,784","$5,488",9.2%
H) Household Goods,"$26,404","$4,084",15.5%
I) Consumable Goods,"$20,082","$3,947",19.7%
J) Livestock,$6,$6,100.0%
K) Miscellaneous,"$701,453","$114,978",16.4%
TOTAL,"$3,335,722","$1,701,627",51.0%
