"",AM,0,0,0,1,0,0
Time of Assaults,PM,7,2,1,4,3,3
"",,,,,,,
"",,12:01 -2:00,2:01 - 4:00,4:01 - 6:00,6:01 - 8:00,8:01 - 10:00,10:01 - 12:00
