"Easy Access to Juvenile Populations: County Comparisons"
"Table:    Race by County in Wyoming"

"Selecting:"
"Year = 2000"    
"Age = 18 to 20"    

"counts","White","Black","American Indian","Asian","Total",
"All Counties","22891","373","761","199","24224",
"Albany County","4024","67","46","54","4191",
"Big Horn County","427","1","5","1","434",
"Campbell County","1466","3","20","2","1491",
"Carbon County","562","8","10","4","584",
"Converse County","403","1","7","3","414",
"Crook County","205","1","3","0","209",
"Fremont County","1145","6","445","4","1600",
"Goshen County","659","5","7","5","676",
"Hot Springs County","155","0","5","1","161",
"Johnson County","193","0","3","3","199",
"Laramie County","3103","193","52","51","3399",
"Lincoln County","561","2","5","3","571",
"Natrona County","3226","48","46","20","3340",
"Niobrara County","76","1","0","0","77",
"Park County","1339","0","13","9","1361",
"Platte County","289","3","4","2","298",
"Sheridan County","1063","10","26","3","1102",
"Sublette County","155","1","0","0","156",
"Sweetwater County","1901","18","24","27","1970",
"Teton County","539","1","3","4","547",
"Uinta County","872","2","20","2","896",
"Washakie County","280","2","3","1","286",
"Weston County","248","0","14","0","262",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
