albany,232
carbon,105
fremont,164
johnson,14
natrona,357
platte,32
sweetwater,212
washakie,20
big horn,3
converse,47
goshen,13
laramie,717
niobrara,1
sheridan,95
teton,28
weston,19
Campbell,243
crook,4
hot springs,10
lincoln,50
park,93
sublette,13
uinta,58
total,2530

