"",AM,4,0,0,2,1,8
15 Time of Assaults,PM,9,5,6,8,21,3
"",,12:01 -2:00,2:01 - 4:00,4:01 - 6:00,6:01 - 8:00,8:01 - 10:00,10:01 - 12:00

