Year,County_Desc,Manslaughter,Rape,Robbery,Aggravated-Assault,Burglary,Larceny-Theft,Motor-Vehicle-Theft,Arson,Other-Assaults,Forgery-Counterfeiting,Fraud,Embezzlement,Stolen-Property,Vandalism,Weapons,Prostitution,Sex-Offenses,Drug-Abuse-Violations,Drug-Abuse-Violations-Possession,Gambling-Offenses,Offenses-Against-Family-Children,Driving-Under-the-Influence,Liquor-Laws,Drunkenness,Disorderly-Conduct,All-Other-Offenses-Except-Traffic,Suspicion,Curfew-Loitering-Law-Violations,Run-a-ways,Vagrancy,Total
2010,Albany,0,0,0,2,2,8,1,0,21,0,3,0,0,12,0,0,0,0,22,0,0,5,28,0,1,33,0,5,0,0,143
2011,Albany,0,0,0,1,2,21,1,2,13,0,0,0,0,1,1,0,0,0,13,0,0,4,21,0,1,29,0,0,0,0,110
2012,Albany,0,0,0,0,5,14,1,0,25,0,0,0,0,6,0,0,1,0,28,0,0,1,30,1,0,11,0,3,0,0,126
2013,Albany,0,0,0,0,0,31,2,0,23,0,1,0,0,7,0,0,0,0,15,0,0,3,21,0,0,12,0,0,1,1,117
2014,Albany,0,0,1,1,5,30,0,0,58,0,0,0,0,14,0,0,1,0,15,0,0,0,22,0,2,28,0,0,0,0,177
2015,Albany,0,0,0,1,0,27,1,0,40,0,0,0,0,11,0,0,0,0,20,0,0,5,20,0,1,36,0,0,0,0,162
2010,Big Horn,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,5,0,3,1,0,20
2011,Big Horn,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4
2012,Big Horn,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
2013,Big Horn,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2014,Big Horn,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,9
2015,Big Horn,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
2010,Campbell,0,0,0,4,3,87,1,0,132,1,1,0,0,28,4,0,1,2,32,0,1,3,79,1,52,211,0,12,9,0,664
2011,Campbell,0,0,0,5,2,75,0,1,85,0,0,0,0,37,0,0,1,2,55,0,1,5,80,0,45,173,0,0,10,0,577
2012,Campbell,0,0,0,1,5,98,0,1,87,0,1,0,0,34,1,0,3,1,54,0,1,4,50,0,21,159,0,0,10,0,531
2013,Campbell,0,0,0,0,6,91,2,1,63,0,1,0,1,35,0,1,2,0,47,0,2,5,67,0,15,125,0,0,7,0,471
2014,Campbell,0,1,5,6,10,57,2,2,61,0,2,0,0,35,1,0,0,2,40,0,1,6,29,2,17,205,0,0,6,0,490
2015,Campbell,0,0,0,0,7,64,7,0,83,0,0,0,2,39,4,0,4,0,57,0,2,8,77,1,44,192,0,0,28,0,619
2010,Carbon,0,0,0,4,3,87,1,0,132,1,1,0,0,28,4,0,1,2,32,0,1,3,79,1,52,211,0,12,9,0,664
2011,Carbon,0,0,0,5,2,75,0,1,85,0,0,0,0,37,0,0,1,2,55,0,1,5,80,0,45,173,0,0,10,0,577
2012,Carbon,0,0,0,1,5,98,0,1,87,0,1,0,0,34,1,0,3,1,54,0,1,4,50,0,21,159,0,0,10,0,531
2013,Carbon,0,0,0,0,6,91,2,1,63,0,1,0,1,35,0,1,2,0,47,0,2,5,67,0,15,125,0,0,7,0,471
2014,Carbon,0,1,5,6,10,57,2,2,61,0,2,0,0,35,1,0,0,2,40,0,1,6,29,2,17,205,0,0,6,0,490
2015,Carbon,0,0,0,0,7,64,7,0,83,0,0,0,2,39,4,0,4,0,57,0,2,8,77,1,44,192,0,0,28,0,619
2010,Converse,0,0,0,4,3,87,1,0,132,1,1,0,0,28,4,0,1,2,32,0,1,3,79,1,52,211,0,12,9,0,664
2011,Converse,0,0,0,5,2,75,0,1,85,0,0,0,0,37,0,0,1,2,55,0,1,5,80,0,45,173,0,0,10,0,577
2012,Converse,0,0,0,1,5,98,0,1,87,0,1,0,0,34,1,0,3,1,54,0,1,4,50,0,21,159,0,0,10,0,531
2013,Converse,0,0,0,0,6,91,2,1,63,0,1,0,1,35,0,1,2,0,47,0,2,5,67,0,15,125,0,0,7,0,471
2014,Converse,0,1,5,6,10,57,2,2,61,0,2,0,0,35,1,0,0,2,40,0,1,6,29,2,17,205,0,0,6,0,490
2015,Converse,0,0,0,0,7,64,7,0,83,0,0,0,2,39,4,0,4,0,57,0,2,8,77,1,44,192,0,0,28,0,619
2010,Crook,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,6,1,0,8,0,0,1,0,26
2011,Crook,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10,0,0,0,0,14
2012,Crook,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,0,0,4,0,0,0,0,12
2013,Crook,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,9
2014,Crook,0,1,0,1,0,7,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,7,0,0,0,0,25
2015,Crook,0,0,0,2,0,4,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,1,0,1,0,22
2010,Fremont,0,1,2,2,4,78,5,2,24,0,0,0,0,10,10,0,4,0,49,0,1,4,69,7,38,77,0,34,16,0,437
2011,Fremont,0,0,1,4,1,57,0,0,28,0,0,0,0,12,1,0,1,1,33,0,0,4,60,0,32,59,0,24,8,0,326
2012,Fremont,1,0,0,1,3,56,2,0,21,0,2,0,0,11,2,0,3,0,47,0,0,2,72,2,17,63,0,11,18,0,334
2013,Fremont,2,0,1,0,1,72,0,0,25,0,0,0,0,4,1,0,4,0,54,0,0,3,69,11,19,47,0,13,11,0,337
2014,Fremont,0,0,0,2,2,39,0,0,26,0,1,0,0,11,3,0,0,2,50,0,0,3,38,17,6,36,0,21,10,0,267
2015,Fremont,0,0,1,3,1,46,3,0,22,0,0,0,0,10,1,0,0,0,51,0,0,5,63,4,5,26,0,5,8,0,254
2010,Goshen,0,1,2,2,4,78,5,2,24,0,0,0,0,10,10,0,4,0,49,0,1,4,69,7,38,77,0,34,16,0,437
2011,Goshen,0,0,1,4,1,57,0,0,28,0,0,0,0,12,1,0,1,1,33,0,0,4,60,0,32,59,0,24,8,0,326
2012,Goshen,1,0,0,1,3,56,2,0,21,0,2,0,0,11,2,0,3,0,47,0,0,2,72,2,17,63,0,11,18,0,334
2013,Goshen,2,0,1,0,1,72,0,0,25,0,0,0,0,4,1,0,4,0,54,0,0,3,69,11,19,47,0,13,11,0,337
2014,Goshen,0,0,0,2,2,39,0,0,26,0,1,0,0,11,3,0,0,2,50,0,0,3,38,17,6,36,0,21,10,0,267
2015,Goshen,0,0,1,3,1,46,3,0,22,0,0,0,0,10,1,0,0,0,51,0,0,5,63,4,5,26,0,5,8,0,254
2010,Hot Springs,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,1,7,0,2,5,0,0,0,0,25
