begin,end,DISTRICT_ID,DISTRICT_NAME,Expulsion - Services not provided,Expulsion - Services provided,In school suspension,Out of school suspension,Total
2009,2010,101000,Albany #1,,,,124,125
2009,2010,201000,Big Horn #1,,,6,6,13
2009,2010,202000,Big Horn #2,1,,11,6,18
2009,2010,203000,Big Horn #3,,,89,26,115
2009,2010,204000,Big Horn #4,,,21,10,46
2009,2010,301000,Campbell #1,5,,352,60,516
2009,2010,401000,Carbon #1,,,197,346,543
2009,2010,402000,Carbon #2,,,9,7,16
2009,2010,501000,Converse #1,,,135,28,218
2009,2010,502000,Converse #2,,,3,21,24
2009,2010,601000,Crook #1,,,1,2,3
2009,2010,701000,Fremont #1,2,,371,102,500
2009,2010,702000,Fremont #2,,,13,8,21
2009,2010,706000,Fremont #6,,,,33,33
2009,2010,714000,Fremont #14,,,47,27,74
2009,2010,721000,Fremont #21,,,2,58,267
2009,2010,724000,Fremont #24,,,24,3,27
2009,2010,725000,Fremont #25,,14,29,360,404
2009,2010,738000,Fremont #38,,,,66,66
2009,2010,801000,Goshen #1,,,8,78,86
2009,2010,901000,Hot Springs #1,,,30,40,71
2009,2010,1001000,Johnson #1,,,40,30,70
2009,2010,1101000,Laramie #1,21,6,,25,52
2009,2010,1102000,Laramie #2,,,38,28,66
2009,2010,1201000,Lincoln #1,,,26,4,31
2009,2010,1202000,Lincoln #2,2,6,10,53,103
2009,2010,1301000,Natrona #1,,,1484,654,2737
2009,2010,1401000,Niobrara #1,1,,7,2,12
2009,2010,1501000,Park #1,1,,127,63,198
2009,2010,1506000,Park #6,,,33,15,49
2009,2010,1516000,Park #16,,,17,9,28
2009,2010,1601000,Platte #1,,,26,36,116
2009,2010,1602000,Platte #2,,,,11,11
2009,2010,1701000,Sheridan #1,,,,5,10
2009,2010,1702000,Sheridan #2,2,,21,56,580
2009,2010,1703000,Sheridan #3,,,14,4,18
2009,2010,1801000,Sublette #1,1,1,15,46,63
2009,2010,1809000,Sublette #9,,,46,43,89
2009,2010,1901000,Sweetwater #1,,,781,342,2288
2009,2010,1902000,Sweetwater #2,,,323,136,492
2009,2010,2001000,Teton #1,,1,245,48,296
2009,2010,2101000,Uinta #1,,,733,354,1671
2009,2010,2104000,Uinta #4,,,3,35,40
2009,2010,2106000,Uinta #6,,,5,18,25
2009,2010,2201000,Washakie #1,,,25,27,52
2009,2010,2202000,Washakie #2,,,,,
2009,2010,2301000,Weston #1,,,,6,6
2009,2010,2307000,Weston #7,,,22,,22
