begin,end,DISTRICT_ID,DISTRICT_NAME,Expulsion - Services not provided,Expulsion - Services provided,In school suspension,Out of school suspension,Total
2008,2009,101000,Albany #1,,,45,114,162
2008,2009,201000,Big Horn #1,,,15,14,30
2008,2009,202000,Big Horn #2,,,,46,46
2008,2009,203000,Big Horn #3,1,,82,28,111
2008,2009,204000,Big Horn #4,,,23,16,59
2008,2009,301000,Campbell #1,5,3,128,38,232
2008,2009,401000,Carbon #1,1,,264,323,588
2008,2009,402000,Carbon #2,,1,19,13,33
2008,2009,501000,Converse #1,,,2,28,48
2008,2009,502000,Converse #2,,,2,33,35
2008,2009,601000,Crook #1,,,10,5,15
2008,2009,701000,Fremont #1,,,66,67,212
2008,2009,702000,Fremont #2,,,31,6,37
2008,2009,706000,Fremont #6,,,,40,41
2008,2009,714000,Fremont #14,,,104,68,172
2008,2009,721000,Fremont #21,,,,30,30
2008,2009,724000,Fremont #24,,,12,2,25
2008,2009,725000,Fremont #25,,,22,293,316
2008,2009,738000,Fremont #38,,,2,21,23
2008,2009,801000,Goshen #1,,,3,65,68
2008,2009,901000,Hot Springs #1,4,,6,37,50
2008,2009,1001000,Johnson #1,,,8,8,25
2008,2009,1101000,Laramie #1,35,3,652,696,1509
2008,2009,1102000,Laramie #2,,,46,30,83
2008,2009,1201000,Lincoln #1,,,15,9,24
2008,2009,1202000,Lincoln #2,,,1,26,28
2008,2009,1301000,Natrona #1,,,1899,618,3405
2008,2009,1401000,Niobrara #1,,,6,1,8
2008,2009,1501000,Park #1,,,169,89,269
2008,2009,1506000,Park #6,1,1,7,19,28
2008,2009,1516000,Park #16,,,15,,15
2008,2009,1601000,Platte #1,1,,17,26,87
2008,2009,1602000,Platte #2,,,,7,7
2008,2009,1701000,Sheridan #1,,,,7,7
2008,2009,1702000,Sheridan #2,6,,22,54,635
2008,2009,1703000,Sheridan #3,,,,4,4
2008,2009,1801000,Sublette #1,1,,7,49,57
2008,2009,1809000,Sublette #9,,,67,47,125
2008,2009,1901000,Sweetwater #1,,,875,355,1230
2008,2009,1902000,Sweetwater #2,,,326,195,523
2008,2009,2001000,Teton #1,,2,23,20,50
2008,2009,2101000,Uinta #1,,,3038,442,3480
2008,2009,2104000,Uinta #4,,,6,27,33
2008,2009,2106000,Uinta #6,,,8,23,31
2008,2009,2201000,Washakie #1,,,6,29,41
2008,2009,2202000,Washakie #2,,,,,
2008,2009,2301000,Weston #1,,,,1,1
2008,2009,2307000,Weston #7,,,1,,1
