begin,end,DISTRICT_ID,DISTRICT_NAME,Expulsion - Services not provided,Expulsion - Services provided,In school suspension,Out of school suspension,Total
2010,2011,101000,Albany #1,,,,96,96
2010,2011,201000,Big Horn #1,,,,,
2010,2011,202000,Big Horn #2,,,,,
2010,2011,203000,Big Horn #3,,,,,
2010,2011,204000,Big Horn #4,,,,,
2010,2011,301000,Campbell #1,,,178,59,237
2010,2011,401000,Carbon #1,,,,,
2010,2011,402000,Carbon #2,,,1,8,9
2010,2011,501000,Converse #1,,,98,7,128
2010,2011,502000,Converse #2,,,,,
2010,2011,601000,Crook #1,,,26,8,34
2010,2011,701000,Fremont #1,,,313,221,535
2010,2011,702000,Fremont #2,,,,,
2010,2011,706000,Fremont #6,,,,,
2010,2011,714000,Fremont #14,,,,,9
2010,2011,721000,Fremont #21,,,,,
2010,2011,724000,Fremont #24,,,51,11,93
2010,2011,725000,Fremont #25,,11,489,395,4256
2010,2011,738000,Fremont #38,,,,,
2010,2011,801000,Goshen #1,,,,,
2010,2011,901000,Hot Springs #1,,,8,26,35
2010,2011,1001000,Johnson #1,,,,,
2010,2011,1101000,Laramie #1,,,,,
2010,2011,1102000,Laramie #2,,,,,
2010,2011,1201000,Lincoln #1,,,,3,3
2010,2011,1202000,Lincoln #2,,,,,
2010,2011,1301000,Natrona #1,,,73,69,241
2010,2011,1401000,Niobrara #1,,,,,
2010,2011,1501000,Park #1,1,1,151,53,224
2010,2011,1506000,Park #6,,,2,40,42
2010,2011,1516000,Park #16,,,17,10,27
2010,2011,1601000,Platte #1,,,,,
2010,2011,1602000,Platte #2,,,,,
2010,2011,1701000,Sheridan #1,,,,,
2010,2011,1702000,Sheridan #2,,,,,
2010,2011,1703000,Sheridan #3,,,,4,4
2010,2011,1801000,Sublette #1,,,,,
2010,2011,1809000,Sublette #9,,,89,27,116
2010,2011,1901000,Sweetwater #1,,,365,285,651
2010,2011,1902000,Sweetwater #2,,,64,160,224
2010,2011,2001000,Teton #1,,,,,
2010,2011,2101000,Uinta #1,,,86,24,255
2010,2011,2104000,Uinta #4,,,16,34,51
2010,2011,2106000,Uinta #6,,,,,
2010,2011,2201000,Washakie #1,,,12,23,35
2010,2011,2202000,Washakie #2,,,,,
2010,2011,2301000,Weston #1,,,,,
2010,2011,2307000,Weston #7,,,,,
