begin,end,DISTRICT_ID,DISTRICT_NAME,Expulsion - Services not provided,Expulsion - Services provided,In school suspension,Out of school suspension,Total
2012,2013,101000,Albany #1,,,193,50,243
2012,2013,201000,Big Horn #1,,,13,5,18
2012,2013,202000,Big Horn #2,,,3,14,17
2012,2013,203000,Big Horn #3,,,24,7,31
2012,2013,204000,Big Horn #4,,,19,15,34
2012,2013,301000,Campbell #1,1,,188,75,264
2012,2013,401000,Carbon #1,3,,346,159,508
2012,2013,402000,Carbon #2,,,12,6,18
2012,2013,501000,Converse #1,1,,283,25,309
2012,2013,502000,Converse #2,,,88,47,135
2012,2013,601000,Crook #1,,,16,4,20
2012,2013,701000,Fremont #1,1,1,132,95,229
2012,2013,702000,Fremont #2,,,20,23,43
2012,2013,706000,Fremont #6,1,1,7,22,31
2012,2013,714000,Fremont #14,,,10,6,16
2012,2013,721000,Fremont #21,,,1,92,93
2012,2013,724000,Fremont #24,,,56,,56
2012,2013,725000,Fremont #25,,5,104,129,238
2012,2013,738000,Fremont #38,,,73,84,157
2012,2013,801000,Goshen #1,,,11,56,67
2012,2013,901000,Hot Springs #1,5,,,,5
2012,2013,1001000,Johnson #1,,,39,19,58
2012,2013,1101000,Laramie #1,,20,,48,68
2012,2013,1102000,Laramie #2,,,55,7,62
2012,2013,1201000,Lincoln #1,,,,6,6
2012,2013,1202000,Lincoln #2,1,,91,19,111
2012,2013,1301000,Natrona #1,4,53,1831,884,2772
2012,2013,1401000,Niobrara #1,,,8,,8
2012,2013,1501000,Park #1,,,168,46,214
2012,2013,1506000,Park #6,,,14,20,34
2012,2013,1516000,Park #16,,,30,7,37
2012,2013,1601000,Platte #1,,,54,21,75
2012,2013,1602000,Platte #2,,,,4,4
2012,2013,1701000,Sheridan #1,,1,30,6,37
2012,2013,1702000,Sheridan #2,,,54,94,148
2012,2013,1801000,Sublette #1,,,49,49,98
2012,2013,1809000,Sublette #9,,,53,31,84
2012,2013,1901000,Sweetwater #1,,,251,168,419
2012,2013,1902000,Sweetwater #2,2,1,870,157,1030
2012,2013,2001000,Teton #1,,,100,24,124
2012,2013,2101000,Uinta #1,1,,344,99,444
2012,2013,2104000,Uinta #4,,,28,28,56
2012,2013,2106000,Uinta #6,,,4,25,29
2012,2013,2201000,Washakie #1,,1,5,23,29
2012,2013,2307000,Weston #7,,,22,1,23
