begin,end,DISTRICT_ID,DISTRICT_NAME,Expulsion - Services not provided,Expulsion - Services provided,In school suspension,Out of school suspension,Total
2007,2008,101000,Albany #1,,,35,154,194
2007,2008,201000,Big Horn #1,,,22,23,52
2007,2008,202000,Big Horn #2,,,2,45,47
2007,2008,203000,Big Horn #3,,,74,39,113
2007,2008,204000,Big Horn #4,,,7,16,23
2007,2008,301000,Campbell #1,1,,259,55,317
2007,2008,401000,Carbon #1,,,429,282,712
2007,2008,402000,Carbon #2,,,29,20,51
2007,2008,501000,Converse #1,,,41,45,103
2007,2008,502000,Converse #2,,,22,49,71
2007,2008,601000,Crook #1,,,30,13,43
2007,2008,701000,Fremont #1,,,20,86,108
2007,2008,702000,Fremont #2,,,34,6,46
2007,2008,706000,Fremont #6,,,14,14,30
2007,2008,714000,Fremont #14,,,96,25,121
2007,2008,721000,Fremont #21,,,,40,132
2007,2008,724000,Fremont #24,,,4,19,23
2007,2008,725000,Fremont #25,,,,90,90
2007,2008,738000,Fremont #38,,,13,57,191
2007,2008,801000,Goshen #1,,,,63,63
2007,2008,901000,Hot Springs #1,,1,8,35,53
2007,2008,1001000,Johnson #1,,,5,20,25
2007,2008,1101000,Laramie #1,14,3,70,369,630
2007,2008,1102000,Laramie #2,,,84,64,148
2007,2008,1201000,Lincoln #1,,,27,23,53
2007,2008,1202000,Lincoln #2,,,,22,22
2007,2008,1301000,Natrona #1,,,2125,448,3497
2007,2008,1401000,Niobrara #1,,,,,
2007,2008,1501000,Park #1,,1,256,85,351
2007,2008,1506000,Park #6,,,11,41,52
2007,2008,1516000,Park #16,,,17,6,28
2007,2008,1601000,Platte #1,1,,35,48,302
2007,2008,1602000,Platte #2,,,,7,7
2007,2008,1701000,Sheridan #1,,,2,7,9
2007,2008,1702000,Sheridan #2,,,,85,779
2007,2008,1703000,Sheridan #3,,,,,
2007,2008,1801000,Sublette #1,,,26,34,60
2007,2008,1809000,Sublette #9,,,,33,33
2007,2008,1901000,Sweetwater #1,1,,623,244,1829
2007,2008,1902000,Sweetwater #2,,,235,175,421
2007,2008,2001000,Teton #1,,,28,57,88
2007,2008,2101000,Uinta #1,,,862,346,1208
2007,2008,2104000,Uinta #4,1,,17,25,43
2007,2008,2106000,Uinta #6,,,34,17,52
2007,2008,2201000,Washakie #1,,,9,52,61
2007,2008,2202000,Washakie #2,,,3,1,4
2007,2008,2301000,Weston #1,,,1,,1
2007,2008,2307000,Weston #7,,,26,6,32
