begin,end,DISTRICT_ID,DISTRICT_NAME,Expulsion - Services not provided,Expulsion - Services provided,In school suspension,Out of school suspension,Total
2013,2014,101000,Albany #1,,,166,67,233
2013,2014,201000,Big Horn #1,,,17,11,28
2013,2014,202000,Big Horn #2,,,10,17,27
2013,2014,203000,Big Horn #3,,1,26,10,37
2013,2014,204000,Big Horn #4,,,21,25,46
2013,2014,301000,Campbell #1,2,,197,120,319
2013,2014,401000,Carbon #1,,1,413,212,626
2013,2014,402000,Carbon #2,,,14,15,29
2013,2014,501000,Converse #1,,,350,12,362
2013,2014,502000,Converse #2,,,21,29,50
2013,2014,601000,Crook #1,,,12,10,22
2013,2014,701000,Fremont #1,,2,94,50,146
2013,2014,702000,Fremont #2,,,22,5,27
2013,2014,706000,Fremont #6,,1,1,15,17
2013,2014,714000,Fremont #14,,,1,7,8
2013,2014,721000,Fremont #21,,4,19,65,88
2013,2014,724000,Fremont #24,,,13,2,15
2013,2014,725000,Fremont #25,1,,735,385,1121
2013,2014,738000,Fremont #38,,,29,136,165
2013,2014,801000,Goshen #1,,,34,78,112
2013,2014,901000,Hot Springs #1,1,,,6,7
2013,2014,1001000,Johnson #1,1,,16,14,31
2013,2014,1101000,Laramie #1,,8,,71,79
2013,2014,1102000,Laramie #2,,,63,26,89
2013,2014,1201000,Lincoln #1,,,,7,7
2013,2014,1202000,Lincoln #2,2,,76,12,90
2013,2014,1301000,Natrona #1,6,13,1988,1075,3082
2013,2014,1401000,Niobrara #1,,,3,1,4
2013,2014,1501000,Park #1,,,155,57,212
2013,2014,1506000,Park #6,,,,35,35
2013,2014,1516000,Park #16,,,2,2,4
2013,2014,1601000,Platte #1,,,25,29,54
2013,2014,1602000,Platte #2,,,,15,15
2013,2014,1701000,Sheridan #1,,,27,21,48
2013,2014,1702000,Sheridan #2,,,32,75,107
2013,2014,1703000,Sheridan #3,,,1,,1
2013,2014,1801000,Sublette #1,,,64,41,105
2013,2014,1809000,Sublette #9,,,71,43,114
2013,2014,1901000,Sweetwater #1,,,165,189,354
2013,2014,1902000,Sweetwater #2,1,,954,200,1155
2013,2014,2001000,Teton #1,,1,122,69,192
2013,2014,2101000,Uinta #1,,,407,114,521
2013,2014,2104000,Uinta #4,,,13,19,32
2013,2014,2106000,Uinta #6,,,5,6,11
2013,2014,2201000,Washakie #1,,,5,32,37
2013,2014,2307000,Weston #7,,,9,1,10
