begin,end,DISTRICT_ID,DISTRICT_NAME,Expulsion - Services not provided,Expulsion - Services provided,In school suspension,Out of school suspension,Total
2015,2016,0101000,Albany #1,,,194,162,356
2015,2016,0202000,Big Horn #2,,,8,34,42
2015,2016,0203000,Big Horn #3,,,34,17,51
2015,2016,0204000,Big Horn #4,,,21,6,27
2015,2016,0301000,Campbell #1,13,1,236,77,327
2015,2016,0401000,Carbon #1,,,108,143,251
2015,2016,0402000,Carbon #2,,,30,5,35
2015,2016,0501000,Converse #1,,,261,17,278
2015,2016,0502000,Converse #2,,,16,22,38
2015,2016,0601000,Crook #1,,,25,7,32
2015,2016,0701000,Fremont #1,1,1,105,70,177
2015,2016,0702000,Fremont #2,,,5,14,19
2015,2016,0706000,Fremont #6,,1,9,25,35
2015,2016,0714000,Fremont #14,,,1,40,41
2015,2016,0721000,Fremont #21,,,,69,69
2015,2016,0724000,Fremont #24,,,7,11,18
2015,2016,0725000,Fremont #25,,3,465,410,878
2015,2016,0738000,Fremont #38,,1,1,57,59
2015,2016,0801000,Goshen #1,,,84,151,235
2015,2016,1001000,Johnson #1,,,21,4,25
2015,2016,1101000,Laramie #1,2,6,,68,76
2015,2016,1102000,Laramie #2,,,38,9,47
2015,2016,1201000,Lincoln #1,,,,1,1
2015,2016,1202000,Lincoln #2,,1,144,1,146
2015,2016,1301000,Natrona #1,5,7,1929,948,2889
2015,2016,1401000,Niobrara #1,,,4,4,8
2015,2016,1501000,Park #1,4,,201,99,304
2015,2016,1506000,Park #6,,,4,29,33
2015,2016,1516000,Park #16,,,,5,5
2015,2016,1601000,Platte #1,,,69,29,98
2015,2016,1602000,Platte #2,,,7,27,34
2015,2016,1701000,Sheridan #1,1,,42,18,61
2015,2016,1702000,Sheridan #2,,,619,69,688
2015,2016,1801000,Sublette #1,1,,34,34,69
2015,2016,1809000,Sublette #9,,,45,21,66
2015,2016,1901000,Sweetwater #1,1,,404,221,626
2015,2016,1902000,Sweetwater #2,,1,426,209,636
2015,2016,2001000,Teton #1,,,86,44,130
2015,2016,2101000,Uinta #1,,1,761,86,848
2015,2016,2104000,Uinta #4,,,36,18,54
2015,2016,2201000,Washakie #1,,,,18,18
2015,2016,2202000,Washakie #2,,,2,1,3
2015,2016,2307000,Weston #7,,,23,3,26
,,,,,,,,
