begin,end,DISTRICT_ID,DISTRICT_NAME,Expulsion - Services not provided,Expulsion - Services provided,In school suspension,Out of school suspension,Total
2011,2012,101000,Albany #1,,,4,66,70
2010,2011,201000,Big Horn #1,,,12,10,22
2010,2011,202000,Big Horn #2,,,24,27,51
2010,2011,203000,Big Horn #3,,1,29,13,43
2010,2011,204000,Big Horn #4,,,21,22,43
2010,2011,301000,Campbell #1,,,212,55,267
2010,2011,401000,Carbon #1,4,1,249,250,504
2010,2011,402000,Carbon #2,1,,32,13,46
2010,2011,501000,Converse #1,,,358,17,375
2010,2011,502000,Converse #2,,1,47,15,63
2010,2011,601000,Crook #1,,,37,17,54
2010,2011,701000,Fremont #1,6,,257,134,397
2010,2011,702000,Fremont #2,,1,21,47,69
2010,2011,706000,Fremont #6,,,6,8,14
2010,2011,714000,Fremont #14,,,,16,16
2010,2011,721000,Fremont #21,,,4,46,50
2010,2011,724000,Fremont #24,1,,86,5,92
2010,2011,725000,Fremont #25,,18,799,416,1233
2010,2011,738000,Fremont #38,,,6,23,29
2010,2011,801000,Goshen #1,,,1,76,77
2010,2011,901000,Hot Springs #1,2,,11,28,41
2010,2011,1001000,Johnson #1,,,12,22,34
2010,2011,1101000,Laramie #1,,46,,53,99
2010,2011,1102000,Laramie #2,,2,71,11,84
2010,2011,1201000,Lincoln #1,,,1,8,9
2010,2011,1202000,Lincoln #2,,,14,31,45
2010,2011,1301000,Natrona #1,,,1734,789,2523
2010,2011,1401000,Niobrara #1,,,4,,4
2010,2011,1501000,Park #1,2,,187,70,259
2010,2011,1506000,Park #6,1,,,34,35
2010,2011,1516000,Park #16,,,19,6,25
2010,2011,1601000,Platte #1,,,61,28,89
2010,2011,1602000,Platte #2,,,,10,10
2010,2011,1701000,Sheridan #1,,,23,12,35
2010,2011,1702000,Sheridan #2,,,22,114,136
2010,2011,1703000,Sheridan #3,,,,,
2010,2011,1801000,Sublette #1,2,,52,66,120
2010,2011,1809000,Sublette #9,,,53,42,95
2010,2011,1901000,Sweetwater #1,,,323,182,505
2010,2011,1902000,Sweetwater #2,2,1,439,147,589
2010,2011,2001000,Teton #1,,,127,63,190
2010,2011,2101000,Uinta #1,,1,93,73,167
2010,2011,2104000,Uinta #4,,,22,33,55
2010,2011,2106000,Uinta #6,,,8,12,20
2010,2011,2201000,Washakie #1,1,4,21,33,59
2010,2011,2202000,Washakie #2,,,,,
2010,2011,2301000,Weston #1,,,,1,1
2010,2011,2307000,Weston #7,,,13,1,14
