"Easy Access to Juvenile Populations"
"Table:    Park County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2002"

"counts","White","Black","American Indian","Asian","Total",
"0","262","1","3","1","267",
"1","247","1","1","2","251",
"2","267","2","4","1","274",
"3","268","1","2","1","272",
"4","297","1","1","3","302",
"5","280","0","1","0","281",
"6","303","1","2","0","306",
"7","278","2","1","1","282",
"8","296","1","3","0","300",
"9","323","2","1","1","327",
"10","351","2","3","3","359",
"11","355","0","3","2","360",
"12","338","2","6","3","349",
"13","373","6","2","2","383",
"14","383","2","3","5","393",
"15","415","1","1","3","420",
"16","403","0","3","3","409",
"17","419","0","2","2","423",
"18 to 20","1251","2","13","14","1280",
"21 to 24","1113","4","8","7","1132",
"25 & over","17206","18","83","84","17391",
"Total","25428","49","146","138","25761",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
