"Easy Access to Juvenile Populations"
"Table:    Goshen County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 1994"

"counts","White","Black","American Indian","Asian","Total",
"0","151","0","1","0","152",
"1","142","2","7","0","151",
"2","144","0","0","0","144",
"3","157","0","0","0","157",
"4","161","0","0","0","161",
"5","150","2","3","0","155",
"6","177","0","9","0","186",
"7","150","0","1","0","151",
"8","184","0","3","0","187",
"9","213","0","2","0","215",
"10","204","7","1","2","214",
"11","199","0","7","0","206",
"12","214","0","2","0","216",
"13","214","0","0","0","214",
"14","217","0","0","0","217",
"15","213","0","6","0","219",
"16","207","0","0","0","207",
"17","194","0","2","0","196",
"18 to 20","576","6","4","3","589",
"21 to 24","518","0","0","3","521",
"25 & over","8007","3","37","6","8053",
"Total","12392","20","85","14","12511",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
