"Easy Access to Juvenile Populations"
"Table:    Sweetwater County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","13","13",
"1","7","7",
"2","7","7",
"3","9","9",
"4","3","3",
"5","7","7",
"6","6","6",
"7","6","6",
"8","9","9",
"9","3","3",
"10","2","2",
"11","4","4",
"12","10","10",
"13","10","10",
"14","4","4",
"15","9","9",
"16","7","7",
"17","3","3",
"18 to 20","24","24",
"21 to 24","27","27",
"25 & over","290","290",
"Total","460","460",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
