"Easy Access to Juvenile Populations"
"Table:    Johnson County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2007"

"counts","White","Black","American Indian","Asian","Total",
"0","105","0","6","1","112",
"1","96","1","3","0","100",
"2","93","0","3","0","96",
"3","104","1","2","0","107",
"4","69","2","2","0","73",
"5","85","0","2","2","89",
"6","85","1","3","0","89",
"7","91","0","1","0","92",
"8","77","0","0","0","77",
"9","80","0","1","0","81",
"10","99","1","1","0","101",
"11","83","0","1","0","84",
"12","125","0","1","0","126",
"13","103","0","0","1","104",
"14","111","1","0","0","112",
"15","120","2","1","0","123",
"16","106","2","3","2","113",
"17","120","1","0","0","121",
"18 to 20","208","0","5","2","215",
"21 to 24","315","1","5","3","324",
"25 & over","5725","13","47","22","5807",
"Total","8000","26","87","33","8146",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
