"Easy Access to Juvenile Populations"
"Table:    Sublette County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","3","3",
"1","0","0",
"2","2","2",
"3","2","2",
"4","2","2",
"5","1","1",
"6","5","5",
"7","5","5",
"8","4","4",
"9","1","1",
"10","2","2",
"11","2","2",
"12","2","2",
"13","1","1",
"14","3","3",
"15","1","1",
"16","3","3",
"17","1","1",
"18 to 20","3","3",
"21 to 24","5","5",
"25 & over","91","91",
"Total","139","139",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
