"Easy Access to Juvenile Populations"
"Table:    Goshen County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2007"

"counts","White","Black","American Indian","Asian","Total",
"0","138","2","2","0","142",
"1","112","2","1","1","116",
"2","117","5","0","2","124",
"3","174","3","3","0","180",
"4","130","1","2","0","133",
"5","121","1","1","0","123",
"6","134","1","2","3","140",
"7","130","1","3","1","135",
"8","111","2","1","0","114",
"9","144","1","2","1","148",
"10","132","2","1","1","136",
"11","131","0","1","1","133",
"12","141","1","5","1","148",
"13","188","2","2","1","193",
"14","137","2","3","2","144",
"15","155","3","2","0","160",
"16","188","3","2","0","193",
"17","199","2","3","0","204",
"18 to 20","606","12","9","5","632",
"21 to 24","535","10","7","2","554",
"25 & over","8637","37","68","26","8768",
"Total","12360","93","120","47","12620",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
