"Easy Access to Juvenile Populations"
"Table:    Sheridan County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","6","6",
"1","3","3",
"2","5","5",
"3","2","2",
"4","3","3",
"5","4","4",
"6","6","6",
"7","3","3",
"8","5","5",
"9","5","5",
"10","8","8",
"11","15","15",
"12","7","7",
"13","13","13",
"14","5","5",
"15","7","7",
"16","5","5",
"17","5","5",
"18 to 20","22","22",
"21 to 24","24","24",
"25 & over","203","203",
"Total","356","356",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
