"Easy Access to Juvenile Populations"
"Table:    Sheridan County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","7","7",
"1","6","6",
"2","11","11",
"3","7","7",
"4","3","3",
"5","11","11",
"6","3","3",
"7","0","0",
"8","7","7",
"9","3","3",
"10","0","0",
"11","3","3",
"12","1","1",
"13","2","2",
"14","1","1",
"15","2","2",
"16","3","3",
"17","2","2",
"18 to 20","14","14",
"21 to 24","13","13",
"25 & over","188","188",
"Total","287","287",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
