"Easy Access to Juvenile Populations"
"Table:    Goshen County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2004"

"counts","White","Black","American Indian","Asian","Total",
"0","124","1","3","1","129",
"1","139","2","2","2","145",
"2","146","2","1","1","150",
"3","148","1","2","0","151",
"4","139","1","0","2","142",
"5","139","1","2","0","142",
"6","149","1","3","2","155",
"7","118","0","2","0","120",
"8","128","1","2","0","131",
"9","137","0","3","0","140",
"10","175","3","0","1","179",
"11","124","1","3","0","128",
"12","178","1","5","2","186",
"13","190","2","3","0","195",
"14","185","1","3","2","191",
"15","147","2","2","0","151",
"16","179","1","2","1","183",
"17","175","0","3","0","178",
"18 to 20","606","7","7","7","627",
"21 to 24","582","3","5","3","593",
"25 & over","8354","19","64","20","8457",
"Total","12262","50","117","44","12473",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
