"Easy Access to Juvenile Populations"
"Table:    Uinta County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","147","3","3","1","154",
"1","144","5","4","0","153",
"2","162","3","5","1","171",
"3","169","3","4","3","179",
"4","154","4","1","2","161",
"5","172","6","1","3","182",
"6","180","1","3","3","187",
"7","175","0","0","2","177",
"8","182","2","0","1","185",
"9","176","4","3","0","183",
"10","187","1","1","2","191",
"11","150","2","1","1","154",
"12","177","0","3","2","182",
"13","176","1","2","2","181",
"14","179","1","2","1","183",
"15","177","3","1","1","182",
"16","167","2","3","1","173",
"17","171","3","2","3","179",
"18 to 20","329","2","6","4","341",
"21 to 24","421","10","7","3","441",
"25 & over","6377","68","76","45","6566",
"Total","10172","124","128","81","10505",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
