"Easy Access to Juvenile Populations"
"Table:    Sweetwater County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2003"

"counts","White","Black","American Indian","Asian","Total",
"0","555","15","15","6","591",
"1","517","15","17","2","551",
"2","505","18","17","3","543",
"3","514","15","6","4","539",
"4","526","9","5","2","542",
"5","494","9","14","2","519",
"6","473","4","10","4","491",
"7","463","6","10","6","485",
"8","455","7","4","3","469",
"9","509","9","9","4","531",
"10","521","9","10","2","542",
"11","569","11","8","2","590",
"12","572","4","6","1","583",
"13","561","6","9","3","579",
"14","555","5","8","2","570",
"15","588","12","4","4","608",
"16","641","9","7","4","661",
"17","638","8","10","8","664",
"18 to 20","1836","26","23","27","1912",
"21 to 24","2191","32","33","37","2293",
"25 & over","22494","212","263","218","23187",
"Total","36177","441","488","344","37450",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
