"Easy Access to Juvenile Populations"
"Table:    Goshen County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","4","4",
"1","3","3",
"2","1","1",
"3","0","0",
"4","0","0",
"5","1","1",
"6","2","2",
"7","2","2",
"8","2","2",
"9","0","0",
"10","1","1",
"11","0","0",
"12","1","1",
"13","3","3",
"14","1","1",
"15","2","2",
"16","2","2",
"17","1","1",
"18 to 20","6","6",
"21 to 24","8","8",
"25 & over","52","52",
"Total","92","92",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
