"Easy Access to Juvenile Populations"
"Table:    Weston County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","63","63",
"1","73","73",
"2","92","92",
"3","91","91",
"4","98","98",
"5","81","81",
"6","88","88",
"7","74","74",
"8","76","76",
"9","76","76",
"10","89","89",
"11","100","100",
"12","100","100",
"13","86","86",
"14","77","77",
"15","84","84",
"16","69","69",
"17","75","75",
"18 to 20","200","200",
"21 to 24","295","295",
"25 & over","5000","5000",
"Total","6987","6987",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
