"Easy Access to Juvenile Populations"
"Table:    Uinta County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"

"counts","White","Black","American Indian","Asian","Total",
"0","285","8","5","2","300",
"1","281","10","10","1","302",
"2","337","8","10","1","356",
"3","322","8","7","8","345",
"4","319","7","3","2","331",
"5","312","13","7","4","336",
"6","346","5","6","6","363",
"7","331","3","4","3","341",
"8","356","4","3","2","365",
"9","339","6","4","3","352",
"10","351","5","3","7","366",
"11","324","3","6","2","335",
"12","351","2","7","2","362",
"13","320","2","2","4","328",
"14","333","3","4","3","343",
"15","309","5","4","1","319",
"16","320","3","5","1","329",
"17","316","3","2","4","325",
"18 to 20","643","8","13","8","672",
"21 to 24","843","19","16","6","884",
"25 & over","12739","109","169","102","13119",
"Total","20077","234","290","172","20773",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
