"Easy Access to Juvenile Populations"
"Table:    Natrona County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","24","24",
"1","10","10",
"2","20","20",
"3","14","14",
"4","20","20",
"5","28","28",
"6","24","24",
"7","34","34",
"8","21","21",
"9","18","18",
"10","9","9",
"11","7","7",
"12","18","18",
"13","11","11",
"14","7","7",
"15","13","13",
"16","8","8",
"17","23","23",
"18 to 20","42","42",
"21 to 24","54","54",
"25 & over","595","595",
"Total","1000","1000",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
