"Easy Access to Juvenile Populations"
"Table:    Goshen County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","137","137",
"1","134","134",
"2","145","145",
"3","120","120",
"4","125","125",
"5","132","132",
"6","141","141",
"7","159","159",
"8","138","138",
"9","174","174",
"10","128","128",
"11","130","130",
"12","161","161",
"13","146","146",
"14","153","153",
"15","146","146",
"16","174","174",
"17","152","152",
"18 to 20","559","559",
"21 to 24","616","616",
"25 & over","9166","9166",
"Total","12936","12936",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
