"Easy Access to Juvenile Populations"
"Table:    Teton County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","5","5",
"1","3","3",
"2","2","2",
"3","6","6",
"4","3","3",
"5","4","4",
"6","4","4",
"7","4","4",
"8","6","6",
"9","3","3",
"10","2","2",
"11","3","3",
"12","4","4",
"13","2","2",
"14","5","5",
"15","5","5",
"16","2","2",
"17","1","1",
"18 to 20","5","5",
"21 to 24","16","16",
"25 & over","156","156",
"Total","241","241",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
