"Easy Access to Juvenile Populations"
"Table:    Weston County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2009"

"counts","White","Black","American Indian","Asian","Total",
"0","88","0","3","1","92",
"1","76","1","0","1","78",
"2","66","1","1","1","69",
"3","70","2","4","0","76",
"4","87","1","2","0","90",
"5","97","2","2","0","101",
"6","94","0","3","0","97",
"7","74","1","1","1","77",
"8","87","2","4","1","94",
"9","91","0","1","0","92",
"10","70","1","0","1","72",
"11","83","0","2","0","85",
"12","89","0","2","0","91",
"13","86","2","4","0","92",
"14","67","0","1","0","68",
"15","108","0","3","0","111",
"16","85","0","3","0","88",
"17","83","1","0","0","84",
"18 to 20","234","2","6","1","243",
"21 to 24","361","4","2","1","368",
"25 & over","4995","16","70","17","5098",
"Total","7091","36","114","25","7266",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
