"Easy Access to Juvenile Populations"
"Table:    Big Horn County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","5","5",
"1","1","1",
"2","2","2",
"3","3","3",
"4","1","1",
"5","2","2",
"6","3","3",
"7","0","0",
"8","1","1",
"9","3","3",
"10","2","2",
"11","0","0",
"12","4","4",
"13","1","1",
"14","3","3",
"15","1","1",
"16","2","2",
"17","3","3",
"18 to 20","7","7",
"21 to 24","6","6",
"25 & over","69","69",
"Total","119","119",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
