"Easy Access to Juvenile Populations"
"Table:    Fremont County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","4","4",
"1","3","3",
"2","0","0",
"3","2","2",
"4","2","2",
"5","4","4",
"6","3","3",
"7","3","3",
"8","3","3",
"9","4","4",
"10","1","1",
"11","5","5",
"12","6","6",
"13","4","4",
"14","3","3",
"15","2","2",
"16","2","2",
"17","3","3",
"18 to 20","10","10",
"21 to 24","8","8",
"25 & over","162","162",
"Total","234","234",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
