"Easy Access to Juvenile Populations"
"Table:    Albany County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Non Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","347","12","3","19","381",
"1","332","11","4","17","364",
"2","306","15","3","7","331",
"3","267","14","4","13","298",
"4","298","14","8","17","337",
"5","285","14","6","17","322",
"6","282","11","4","7","304",
"7","289","14","2","9","314",
"8","271","10","3","7","291",
"9","289","8","1","13","311",
"10","276","3","2","8","289",
"11","260","6","6","5","277",
"12","239","8","3","7","257",
"13","235","2","0","7","244",
"14","242","6","3","8","259",
"15","262","5","6","10","283",
"16","239","7","6","6","258",
"17","233","19","7","11","270",
"18 to 20","3437","71","16","200","3724",
"21 to 24","5863","146","65","227","6301",
"25 & over","18016","346","180","693","19235",
"Total","32268","742","332","1308","34650",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
