"Easy Access to Juvenile Populations"
"Table:    Weston County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","0","0",
"1","0","0",
"2","0","0",
"3","0","0",
"4","0","0",
"5","1","1",
"6","1","1",
"7","0","0",
"8","0","0",
"9","0","0",
"10","0","0",
"11","0","0",
"12","0","0",
"13","2","2",
"14","1","1",
"15","0","0",
"16","1","1",
"17","0","0",
"18 to 20","1","1",
"21 to 24","1","1",
"25 & over","36","36",
"Total","44","44",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
