"Easy Access to Juvenile Populations"
"Table:    Laramie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","1096","1096",
"1","1117","1117",
"2","1087","1087",
"3","1214","1214",
"4","1170","1170",
"5","1176","1176",
"6","1177","1177",
"7","1246","1246",
"8","1282","1282",
"9","1226","1226",
"10","1245","1245",
"11","1178","1178",
"12","1203","1203",
"13","1192","1192",
"14","1113","1113",
"15","1091","1091",
"16","1139","1139",
"17","1102","1102",
"18 to 20","3137","3137",
"21 to 24","5150","5150",
"25 & over","62067","62067",
"Total","91408","91408",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
