"Easy Access to Juvenile Populations"
"Table:    Lincoln County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","6","6",
"1","4","4",
"2","4","4",
"3","6","6",
"4","6","6",
"5","4","4",
"6","2","2",
"7","2","2",
"8","3","3",
"9","1","1",
"10","2","2",
"11","5","5",
"12","7","7",
"13","4","4",
"14","2","2",
"15","4","4",
"16","4","4",
"17","3","3",
"18 to 20","8","8",
"21 to 24","13","13",
"25 & over","107","107",
"Total","197","197",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
