"Easy Access to Juvenile Populations"
"Table:    Albany County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","390","390",
"1","368","368",
"2","347","347",
"3","322","322",
"4","347","347",
"5","326","326",
"6","332","332",
"7","342","342",
"8","323","323",
"9","352","352",
"10","331","331",
"11","318","318",
"12","285","285",
"13","284","284",
"14","284","284",
"15","310","310",
"16","282","282",
"17","268","268",
"18 to 20","3710","3710",
"21 to 24","6330","6330",
"25 & over","19671","19671",
"Total","35522","35522",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
