"Easy Access to Juvenile Populations"
"Table:    Albany County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2014"

"counts","White","Black","American Indian","Asian","Total",
"0","390","14","5","18","427",
"1","324","16","7","20","367",
"2","371","13","12","22","418",
"3","345","19","5","18","387",
"4","357","19","6","11","393",
"5","354","24","9","11","398",
"6","324","19","7","12","362",
"7","342","8","11","12","373",
"8","324","9","6","9","348",
"9","304","7","5","8","324",
"10","271","9","6","6","292",
"11","266","6","2","8","282",
"12","270","11","8","12","301",
"13","299","9","1","14","323",
"14","259","3","7","8","277",
"15","250","5","6","9","270",
"16","285","9","2","13","309",
"17","303","23","5","17","348",
"18 to 20","3721","75","28","174","3998",
"21 to 24","6703","208","108","206","7225",
"25 & over","19033","399","246","746","20424",
"Total","35095","905","492","1354","37846",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
