"Easy Access to Juvenile Populations"
"Table:    Sublette County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","110","110",
"1","109","109",
"2","127","127",
"3","136","136",
"4","136","136",
"5","130","130",
"6","115","115",
"7","134","134",
"8","157","157",
"9","143","143",
"10","113","113",
"11","117","117",
"12","118","118",
"13","124","124",
"14","124","124",
"15","105","105",
"16","115","115",
"17","133","133",
"18 to 20","255","255",
"21 to 24","333","333",
"25 & over","6569","6569",
"Total","9403","9403",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
