"Easy Access to Juvenile Populations"
"Table:    Campbell County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","14","14",
"1","9","9",
"2","13","13",
"3","13","13",
"4","18","18",
"5","12","12",
"6","9","9",
"7","8","8",
"8","9","9",
"9","15","15",
"10","6","6",
"11","4","4",
"12","9","9",
"13","11","11",
"14","7","7",
"15","8","8",
"16","8","8",
"17","4","4",
"18 to 20","35","35",
"21 to 24","38","38",
"25 & over","238","238",
"Total","488","488",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
