"Easy Access to Juvenile Populations"
"Table:    Weston County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","2","2",
"1","1","1",
"2","1","1",
"3","1","1",
"4","2","2",
"5","2","2",
"6","1","1",
"7","1","1",
"8","0","0",
"9","3","3",
"10","2","2",
"11","0","0",
"12","2","2",
"13","2","2",
"14","2","2",
"15","0","0",
"16","1","1",
"17","0","0",
"18 to 20","7","7",
"21 to 24","12","12",
"25 & over","42","42",
"Total","84","84",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
