"Easy Access to Juvenile Populations"
"Table:    Washakie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2011"

"counts","White","Black","American Indian","Asian","Total",
"0","105","2","1","0","108",
"1","99","4","0","1","104",
"2","100","3","1","1","105",
"3","103","2","1","2","108",
"4","115","1","2","1","119",
"5","120","1","5","0","126",
"6","125","0","2","1","128",
"7","118","0","1","3","122",
"8","123","1","2","2","128",
"9","127","0","3","0","130",
"10","111","0","1","0","112",
"11","107","0","1","1","109",
"12","117","0","3","1","121",
"13","118","0","8","0","126",
"14","116","1","2","2","121",
"15","108","0","4","0","112",
"16","120","3","5","3","131",
"17","130","3","1","1","135",
"18 to 20","237","2","10","3","252",
"21 to 24","244","3","2","9","258",
"25 & over","5662","26","85","42","5815",
"Total","8205","52","140","73","8470",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
