"Easy Access to Juvenile Populations"
"Table:    Laramie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","32","32",
"1","25","25",
"2","25","25",
"3","21","21",
"4","35","35",
"5","16","16",
"6","15","15",
"7","28","28",
"8","30","30",
"9","23","23",
"10","27","27",
"11","26","26",
"12","32","32",
"13","21","21",
"14","19","19",
"15","24","24",
"16","14","14",
"17","18","18",
"18 to 20","56","56",
"21 to 24","127","127",
"25 & over","1122","1122",
"Total","1736","1736",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
