"Easy Access to Juvenile Populations"
"Table:    Campbell County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","700","700",
"1","742","742",
"2","746","746",
"3","712","712",
"4","735","735",
"5","683","683",
"6","839","839",
"7","781","781",
"8","839","839",
"9","804","804",
"10","752","752",
"11","716","716",
"12","747","747",
"13","662","662",
"14","652","652",
"15","675","675",
"16","691","691",
"17","655","655",
"18 to 20","1472","1472",
"21 to 24","2404","2404",
"25 & over","30002","30002",
"Total","47009","47009",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
