"Easy Access to Juvenile Populations"
"Table:    Platte County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","2","2",
"1","2","2",
"2","1","1",
"3","2","2",
"4","1","1",
"5","1","1",
"6","1","1",
"7","1","1",
"8","0","0",
"9","3","3",
"10","1","1",
"11","0","0",
"12","0","0",
"13","2","2",
"14","0","0",
"15","0","0",
"16","0","0",
"17","0","0",
"18 to 20","7","7",
"21 to 24","5","5",
"25 & over","36","36",
"Total","65","65",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
